feature,dimension,feature_label,spec,theta,se_hc1,se_boot,t_stat,p_raw,ci_lo,ci_hi,n_boot_valid,p_bh,sig_bh,sig_raw
front_setback,D4a,"front_setback (scraped, inv.)",GB_Full,0.0080341575876606,0.0174241038336027,0.0175495982058582,0.4577972380574959,0.6470981202818324,-0.0263624228389702,0.0424307380142915,50,0.6794530262959241,,
front_setback,D4a,"front_setback (scraped, inv.)",GB_NoVeh,0.0058016370201529,0.0174265348470022,0.0168816419678669,0.3436654462401209,0.7310978999883653,-0.0272857732367661,0.0388890472770719,50,0.7676527949877835,,
lot_width,D4a,"lot_width (scraped, inv.)",RF_Full,0.0367053727130623,0.0123080828060145,0.0103526792782882,3.545495009204158,0.0003918764084491,0.0164144941841232,0.0569962512420015,50,0.002351117698178674,**,***
lot_width,D4a,"lot_width (scraped, inv.)",RF_NoVeh,0.0360122703472058,0.0125638931225766,0.0107394314569484,3.3532753099239385,0.0007986122618504,0.0149633714771502,0.0570611692172614,50,0.0041927143747146,**,***
lot_width,D4a,"lot_width (scraped, inv.)",GB_Full,0.0362897413026107,0.0082277924166857,0.0062545781389018,5.802108550998469,6.548614245605219e-09,0.0240309934118714,0.04854848919335,50,1.375208991577096e-07,***,***
lot_width,D4a,"lot_width (scraped, inv.)",GB_NoVeh,0.0375060453827456,0.008309316890471,0.0062374231111181,6.013067370063706,1.8204533503390383e-09,0.0252809207286163,0.0497311700368749,50,3.82295203571198e-08,***,***
frontage_std,D4a,frontage_std (binary),RF_Full,0.0447618160505813,0.0300346092096349,0.0274208958374446,1.632398019230897,0.1025956661448196,-0.0089821522146344,0.0985057843157971,50,0.12673582288477714,,
frontage_std,D4a,frontage_std (binary),RF_NoVeh,0.0517676110498208,0.0302049896480618,0.0286134277994909,1.8092069014793728,0.0704188658491392,-0.0043136769114186,0.1078488990110603,50,0.09858641218879488,†,†
frontage_std,D4a,frontage_std (binary),GB_Full,0.0280461211937532,0.0143507942518962,0.0095492984955301,2.936982356021337,0.0033142295946237,0.0093298400648915,0.0467624023226148,50,0.01324336308427195,*,**
frontage_std,D4a,frontage_std (binary),GB_NoVeh,0.0311396859003028,0.0144937551844963,0.0093209252458749,3.3408363524945006,0.0008352643942483,0.0128710081157977,0.0494083636848078,50,0.0035081104558428596,**,***
transparency_activation,D4b,transparency_activation (LLM),RF_Full,0.0502954424152885,0.051667523542428,0.0389110455050187,1.2925749427319155,0.1961581105957662,-0.0259688053753473,0.1265596902059245,50,0.22885112902839394,,
transparency_activation,D4b,transparency_activation (LLM),RF_NoVeh,0.0542877583122449,0.0525509525110655,0.0393503156991879,1.3796015952513745,0.167709346011136,-0.0228374432384445,0.1314129598629345,50,0.19566090367965866,,
transparency_activation,D4b,transparency_activation (LLM),GB_Full,0.0366699046322924,0.0227103853549907,0.0188843279246252,1.9418167688390344,0.0521592861095306,-0.0003426979722169,0.0736825072368018,50,0.0842573083307802,†,†
transparency_activation,D4b,transparency_activation (LLM),GB_NoVeh,0.0354199091469857,0.0228158663031337,0.0193191916486176,1.833405340720877,0.0667423139705044,-0.0024450106947318,0.0732848289887033,50,0.10781450718312248,,†
setback_building_placement,D5,setback_building_placement (LLM),RF_Full,0.0891834582366217,0.053056141218935,0.038250075400357,2.331589083241107,0.0197223186764531,0.0142146880459804,0.164152228427263,50,0.04398512134906764,*,*
setback_building_placement,D5,setback_building_placement (LLM),RF_NoVeh,0.0895403429865578,0.0548014854865939,0.0385581402302013,2.3222163323225797,0.020221289996905,0.0139677768245182,0.1651129091485974,50,0.03860428090318227,*,*
setback_building_placement,D5,setback_building_placement (LLM),GB_Full,0.0388737537700869,0.0213696614354072,0.0162299936622057,2.395179849060016,0.0166122146147474,0.0070635507228503,0.0706839568173234,50,0.0317142279008814,*,*
setback_building_placement,D5,setback_building_placement (LLM),GB_NoVeh,0.0409909949847131,0.021468643670821,0.0164875680217045,2.4861759436414124,0.0129124108948775,0.008675955469518,0.0733060344999083,50,0.027116062879242748,*,*
side_setback,D5,"side_setback (scraped, inv.)",RF_Full,-0.0552792843237776,0.0351721595374328,0.0282332580925595,-1.9579491726583864,0.0502359771079088,-0.1106154533514184,5.688470386307904e-05,50,0.08115042455892961,†,†
side_setback,D5,"side_setback (scraped, inv.)",RF_NoVeh,-0.0604026024088709,0.0354200771758799,0.0275525906525791,-2.192265807978269,0.0283603191239632,-0.114404687768701,-0.0064005170490408,50,0.0496305584669356,*,*
side_setback,D5,"side_setback (scraped, inv.)",GB_Full,0.0001309088406718,0.0136700922106828,0.0121730087915163,0.0107540249837879,0.9914196948832934,-0.0237277499741895,0.0239895676555332,50,0.9914196948832933,,
side_setback,D5,"side_setback (scraped, inv.)",GB_NoVeh,-0.0009401088794608,0.014059392308438,0.0118653977861354,-0.0792311304185123,0.9368487839236068,-0.0241958612025276,0.0223156434436059,50,0.9368487839236068,,
rear_setback,D5,"rear_setback (scraped, inv.)",RF_Full,0.086775234069186,0.0285074952116338,0.022166764221886,3.914654985300465,9.053356976056094e-05,0.0433291745404984,0.1302212935978736,50,0.0019012049649717797,**,***
rear_setback,D5,"rear_setback (scraped, inv.)",RF_NoVeh,0.0876885049610786,0.0295423418546232,0.0233506986470599,3.7552839975569294,0.0001731450330009,0.0419219765989928,0.1334550333231643,50,0.00195470858271045,**,***
rear_setback,D5,"rear_setback (scraped, inv.)",GB_Full,0.0474622650451551,0.0145025866713533,0.010200579465229,4.652898907061206,3.273007337106958e-06,0.0274694966718674,0.0674550334184429,50,3.436657703962306e-05,***,***
rear_setback,D5,"rear_setback (scraped, inv.)",GB_NoVeh,0.0490508446486128,0.0147274030061575,0.010134143505059,4.840156903652103,1.2973665690315008e-06,0.0291882883645365,0.0689134009326891,50,1.3622348974830757e-05,***,***
form_based_design,D6,form_based_design (LLM),RF_Full,0.0662652526975784,0.0930959227277384,0.0710966261282133,0.9320449690267704,0.3513132860193444,-0.073081573936029,0.2056120793311859,50,0.3882936319161175,,
form_based_design,D6,form_based_design (LLM),RF_NoVeh,0.0701122215240435,0.094911398556985,0.0726669327362578,0.9648435524107422,0.3346231779811609,-0.0723123495060165,0.2125367925541036,50,0.3698466704002305,,
form_based_design,D6,form_based_design (LLM),GB_Full,-0.0143487451763194,0.0342114760943198,0.023338929785948,-0.6147987636073433,0.5386876259219808,-0.0600922069944866,0.0313947166418477,50,0.5953915865453472,,
form_based_design,D6,form_based_design (LLM),GB_NoVeh,-0.0134353973670305,0.0344914392679613,0.0243011270868273,-0.5528713676129574,0.5803514948225519,-0.0610647312409429,0.0341939365068819,50,0.6414411258565047,,
human_scale_design,D6,human_scale_design (binary),RF_Full,-0.0871919145223899,0.0338652372317654,0.0304043003266709,-2.8677494165489588,0.0041340281407051,-0.1467832481378043,-0.0276005809069754,50,0.014083030903849492,*,**
human_scale_design,D6,human_scale_design (binary),RF_NoVeh,-0.0859677711056627,0.0354950912828305,0.0300510548261047,-2.860723911460977,0.0042267496075495,-0.1448667562622666,-0.0270687859490587,50,0.017752348351707904,*,**
human_scale_design,D6,human_scale_design (binary),GB_Full,-0.0793289421354456,0.0179671749152136,0.0184194278534011,-4.3068081574964605,1.6562713551778592e-05,-0.1154303573439458,-0.0432275269269454,50,8.695424614683761e-05,***,***
human_scale_design,D6,human_scale_design (binary),GB_NoVeh,-0.0782968345211486,0.0184701768834352,0.0187803892419531,-4.169074107699677,3.0583954130822644e-05,-0.1151057210510203,-0.0414879479912768,50,0.00016056575918681887,***,***
ped_scale_lang,D6,ped_scale_lang (binary),RF_Full,-0.0669870533875772,0.0553732159857202,0.0360241932898792,-1.859501831131824,0.0629560399459508,-0.1375931748078501,0.0036190680326955,50,0.09168640718553246,†,†
ped_scale_lang,D6,ped_scale_lang (binary),RF_NoVeh,-0.0632494053592611,0.0565491625618617,0.0359760412504115,-1.7580979774570866,0.07873083986593,-0.133761150516395,0.0072623397978726,50,0.10333422732403313,,†
ped_scale_lang,D6,ped_scale_lang (binary),GB_Full,-0.0402693457477743,0.0326977114407964,0.0293760311543455,-1.3708232244238163,0.1704300692952843,-0.0978453088190181,0.0173066173234693,50,0.2105312620706453,,
ped_scale_lang,D6,ped_scale_lang (binary),GB_NoVeh,-0.03968494959005529,0.03256050112453546,0.03054566101934304,-1.2992008771695855,0.19387500056614337,-0.0995533450719367,0.0201834458918261,50,0.23949264775817708,,
transit_orientation,D7,transit_orientation (LLM),RF_Full,0.2455872075669525,0.0669806619499258,0.06996461474544034,3.5101630797296375,0.0004478319425102236,0.10845908247366942,0.38271533266023555,50,0.002351117698178674,**,***
transit_orientation,D7,transit_orientation (LLM),RF_NoVeh,0.25761687715313586,0.06834350009051497,0.07658906960791265,3.363624580791626,0.0007692610788644935,0.10750505911219582,0.4077286951940759,50,0.0041927143747146,**,***
transit_orientation,D7,transit_orientation (LLM),GB_Full,0.09859826956010201,0.049834308046182545,0.03963485122229122,2.487665943467675,0.012858444986569706,0.020915388631807877,0.17628115048839615,50,0.030003038301995983,*,*
transit_orientation,D7,transit_orientation (LLM),GB_NoVeh,0.08761293048195447,0.049747160219897724,0.03976940089805773,2.203023643894855,0.027593082212782647,0.009666337035026437,0.1655595239288825,50,0.05267770240622141,†,*
transit_orient,D7,transit_orient (binary),RF_Full,-0.009916804632206143,0.02824462544564043,0.020571847500040014,-0.48205707495094224,0.629765401847401,-0.05023688482773492,0.030403275563322632,50,0.661253671939771,,
transit_orient,D7,transit_orient (binary),RF_NoVeh,-0.005150374042336055,0.029117149368459633,0.020143479326766894,-0.2556844306183082,0.7981945182171788,-0.0446308680461263,0.034330119961454186,50,0.8381042441280376,,
transit_orient,D7,transit_orient (binary),GB_Full,-0.014677621095447388,0.011881025013073818,0.009106245581205378,-1.6118191591209576,0.10700129775213758,-0.03252553446898694,0.0031702922780921655,50,0.1498018168529926,,
transit_orient,D7,transit_orient (binary),GB_NoVeh,-0.013395933673850627,0.01183814623690676,0.008776189278772134,-1.5263952551995137,0.12691145860215092,-0.030596948581750563,0.0038050812340493095,50,0.17767604204301127,,
open_space_green,D+,open_space_green (LLM),RF_Full,0.07532575771679358,0.0331811784506521,0.02664236520297922,2.827292439800744,0.0046943436346164975,0.02310768145599114,0.127543833977596,50,0.014083030903849492,*,**
open_space_green,D+,open_space_green (LLM),RF_NoVeh,0.07188455528668518,0.03424734435163021,0.026636427891834683,2.6987310602830936,0.006960440032553812,0.01967811594189104,0.12409099463147932,50,0.0212126936081298,*,**
open_space_green,D+,open_space_green (LLM),GB_Full,0.02189317405433436,0.01473601269003905,0.01176248684755717,1.861270863727353,0.0627059355517851,-0.001160876535503768,0.04494722464417249,50,0.09405890332767763,†,†
open_space_green,D+,open_space_green (LLM),GB_NoVeh,0.021140527493638667,0.014831628181020084,0.012173634340967597,1.7365830861614622,0.08246078712128888,-0.00271935737561782,0.045000412362895155,50,0.12369118068193331,,†
