backend,dimension,theta,se,se_within,se_across,pval,p_bh,bh_sig,n_fits
multi-qa,emb_007,-0.0057373978589011,0.053692777094351,0.0373771278100324,0.0385469146466506,0.9149031836812064,0.9677947489851468,False,50.0
multi-qa,emb_008,-0.0139892332129624,0.0217239453063711,0.0191989121191394,0.0101652138745707,0.5196049131014517,0.7917789152022122,False,50.0
multi-qa,emb_009,0.0845545646630036,0.0288103554104759,0.0168479549790858,0.023370558228263,0.00333690559535,0.0213561958102403,True,50.0
multi-qa,emb_010,-0.0709130560142826,0.0250015203112699,0.0238656226315136,0.0074503741036962,0.0045632442998937,0.0243373029327666,True,50.0
multi-qa,emb_011,-0.0052954763301195,0.015518853603162,0.0115511516259566,0.0103636727693677,0.7329315116535318,0.874072827980542,False,50.0
multi-qa,emb_012,-0.0179685218285157,0.0189597626452162,0.0145510372185199,0.0121548309502101,0.3432726725008961,0.6102625288904819,False,50.0
multi-qa,emb_013,-0.0348284729724673,0.0236571968292402,0.0166564426597638,0.016799579748893,0.140962908590158,0.3222009339203612,False,50.0
multi-qa,emb_014,-0.0350737051838552,0.0199151569542403,0.0160549358161021,0.0117835695972345,0.078211943255831,0.2085651820155494,False,50.0
multi-qa,emb_015,0.0166261448376528,0.0183190434419929,0.0146879051416042,0.0109477301382918,0.3640959125045193,0.6132141684286642,False,50.0
multi-qa,emb_016,0.0386875081355118,0.0322509213451744,0.0189235702975703,0.0261155205731294,0.2303031254529739,0.4335117655585391,False,50.0
multi-qa,emb_017,0.0117288332971163,0.0217309392771163,0.0181397460726263,0.0119659238793481,0.5893834559038151,0.8572850267691856,False,50.0
multi-qa,emb_018,0.0300629802700961,0.019343313786661,0.0151256970900715,0.0120572416326716,0.1201416242367716,0.2957332288905148,False,50.0
multi-qa,emb_019,-0.0792692646608168,0.0446616180944239,0.0205023056574172,0.039677646018155,0.0759167716599817,0.2085651820155494,False,50.0
multi-qa,emb_020,0.0226062743705871,0.0295669182263206,0.0179058552322987,0.0235283446464448,0.4445216816369832,0.7112346906191732,False,50.0
multi-qa,emb_021,-0.0080444788936762,0.0275227391081324,0.0182335717315632,0.0206164504686004,0.7700688628861596,0.874072827980542,False,50.0
multi-qa,emb_022,0.0055056359691916,0.0200707131564481,0.0143153853681187,0.0140678096507833,0.7838449207783251,0.874072827980542,False,50.0
multi-qa,emb_023,-0.0678323272384947,0.0223814776225164,0.0165270522139819,0.0150926169262828,0.0024395927181157,0.0195167417449262,True,50.0
multi-qa,emb_024,0.0135968274634765,0.0272355960101783,0.0178081896653783,0.0206069422979624,0.6176173399531522,0.859293690369603,False,50.0
multi-qa,emb_025,0.1193700901484226,0.0245364305143112,0.0190497337394772,0.0154642835863368,1.144484184534278e-06,3.662349390509689e-05,True,50.0
multi-qa,emb_026,0.0002763532242773,0.0208277251968769,0.0161517739888639,0.0131496894978276,0.9894135581707504,0.9894135581707504,False,50.0
multi-qa,emb_027,-0.0143758055819109,0.0345023474370326,0.0213326374695329,0.0271169791322556,0.6769258968573149,0.874072827980542,False,50.0
multi-qa,emb_028,0.0570316848647065,0.0253999329688384,0.0180440415320608,0.0178764974200973,0.0247458105110318,0.0791865936353019,False,50.0
multi-qa,emb_029,-0.0063248833768093,0.0239990124423552,0.0153258438819877,0.0184681105561251,0.7921285003573661,0.874072827980542,False,50.0
multi-qa,emb_030,-0.0300771609588999,0.0214477534853636,0.0158492726556833,0.0144501448385383,0.1608120942971829,0.3430658011673235,False,50.0
multi-qa,emb_031,-0.0432521001053415,0.0340957805559408,0.0208618544014642,0.0269685980846424,0.2046026778860867,0.4092053557721735,False,50.0
openai-lg,emb_000,-0.0762119158712523,0.0477587460971949,0.0260210360121415,0.0400475156986194,0.1105404265925393,0.3215721500873872,False,50.0
openai-lg,emb_001,0.0319288303552913,0.0270339889790162,0.0187040603498182,0.0195190851872706,0.2375778993788773,0.4472054576543572,False,50.0
openai-lg,emb_002,0.0191501150961373,0.0351302053119503,0.020439112793491,0.0285722591594492,0.5856722101907441,0.7221491315494217,False,50.0
openai-lg,emb_003,-0.0371815782571361,0.0202240151673063,0.0169528125707431,0.0110278255077186,0.0659907537365835,0.2111704119570674,False,50.0
openai-lg,emb_004,0.05046172917818,0.0378610982859729,0.0294179354931331,0.0238337541050912,0.1825934802921698,0.3974436904004165,False,50.0
openai-lg,emb_005,-0.0202118816572642,0.0289831116886177,0.0207940457002805,0.0201898099686335,0.4855728024487526,0.6474304032650036,False,50.0
openai-lg,emb_006,-0.0437525030680071,0.0473935549098215,0.0324362096837599,0.0345549033907117,0.3559164764482045,0.5694663623171273,False,50.0
openai-lg,emb_007,-0.0783794041164789,0.0389680806476962,0.0238866397449817,0.030788630223815,0.0442859136674858,0.1574610263732828,False,50.0
openai-lg,emb_008,0.002453828486598,0.0243157925862262,0.0156078844219666,0.0186454206969676,0.919617926550326,0.965437818410098,False,50.0
openai-lg,emb_009,-0.0665759952808347,0.044014828450193,0.0318740250296598,0.0303537749202391,0.1303861115706017,0.3476962975216047,False,50.0
openai-lg,emb_010,-0.1125358934281769,0.0301475991636417,0.022005338153523,0.0206068636158129,0.0001893396213803,0.0012117735768342,True,50.0
openai-lg,emb_011,0.0143185766020862,0.0203274128799031,0.0112482367427497,0.0169316533324158,0.4811853302052604,0.6474304032650036,False,50.0
openai-lg,emb_012,-0.1572086197394012,0.0260733139415433,0.02122899025352,0.0151376244077539,1.644843594661438e-09,5.263499502916603e-08,True,50.0
openai-lg,emb_013,-0.0198178716969311,0.0440120360537399,0.0254416412846929,0.0359135379256445,0.6525063942205938,0.7733409116688519,False,50.0
openai-lg,emb_014,-0.0007821351363738,0.0213410729253726,0.0157901847367573,0.0143565824479626,0.9707646434462414,0.9707646434462414,False,50.0
openai-lg,emb_015,0.0500830295379456,0.0214484998887481,0.0136016027798573,0.0165841656195481,0.0195415154472253,0.0893326420444588,False,50.0
openai-lg,emb_016,0.0021813845874714,0.0249977289750748,0.014183491640897,0.0205843391631574,0.9304622166462866,0.965437818410098,False,50.0
openai-lg,emb_017,0.0388468230422663,0.0293938056977691,0.0125973790527601,0.0265575197335761,0.1863017298751952,0.3974436904004165,False,50.0
openai-lg,emb_018,-0.1106742019917553,0.0196588673735392,0.0132798588381444,0.0144953929111757,1.8048733174680365e-08,2.887797307948859e-07,True,50.0
openai-lg,emb_019,-0.0108049448630365,0.0198782086395007,0.0144218057523673,0.0136804494647108,0.5867461693839051,0.7221491315494217,False,50.0
openai-lg,emb_020,-0.0158537909769442,0.0223274315780503,0.013717650545599,0.0176164770706672,0.4776676265392634,0.6474304032650036,False,50.0
openai-lg,emb_021,-0.0315359083478126,0.0254129752732412,0.0127526700619804,0.0219815540517188,0.2146289204878688,0.4292578409757377,False,50.0
openai-lg,emb_022,0.0342076716529913,0.0330080634600394,0.0163884347562898,0.0286522505158114,0.3000422066814527,0.5053342428319204,False,50.0
openai-lg,emb_023,-0.009092316071437,0.0322447379736102,0.0182689068864685,0.0265700991371941,0.7779601572709693,0.8890973225953935,False,50.0
openai-lg,emb_024,0.1115531684122801,0.0306427140927724,0.0204095492872719,0.0228566450920035,0.0002721654111623,0.0014515488595326,True,50.0
openai-lg,emb_025,-0.018555187945783,0.021278135522542,0.0143573536824842,0.0157043129920325,0.3831916161445088,0.5839110341249658,False,50.0
openai-lg,emb_026,-0.1011058844863523,0.0243486879349374,0.0195808960470083,0.0144722877994193,3.289833424879873e-05,0.0003509155653205,True,50.0
openai-lg,emb_027,0.0020362853240167,0.0250715766141706,0.0186755670024514,0.0167274370737772,0.9352678865847824,0.965437818410098,False,50.0
openai-lg,emb_028,0.0285099653473419,0.0251225210539283,0.0218950913111093,0.0123185242859384,0.2564436383447193,0.4558998015017231,False,50.0
openai-lg,emb_029,0.0807932608317316,0.040068640587777,0.0290498785839931,0.0275971105880255,0.0437611540608002,0.1574610263732828,False,50.0
