feature,theta,se_within,se_across,se_combined,t_stat,p_raw,ci_lo,ci_hi,p_bh,sig_bh,sig_raw,spec,dimension,feature_label
open_space_green,0.0052270062605997,0.026837878900825,0.019785679424876,0.0333428381245405,0.1567654871212859,0.8754296737711561,-0.0601237556058487,0.0705777681270482,0.8754296737711561,,,RF_Full,D8,open_space_green (LLM)
density_permissions,-0.0455896052015992,0.0520115020034596,0.0337474630924813,0.0620007064946382,-0.7353078340412423,0.4621520381842965,-0.1671087569471287,0.0759295465439303,0.746553292451556,,,RF_NoTravel,D1,density_permissions (LLM)
min_lot_area,-0.0286209608112313,0.0213277704105681,0.0288010438382945,0.0358381628555547,-0.7986168522808414,0.4245126128621379,-0.0988624692801998,0.0416205476577371,0.746553292451556,,,RF_NoTravel,D1,"min_lot_area (scraped, inv.)"
max_height,-0.0486850642204555,0.0198121040174385,0.0091223808060294,0.02181140291609,-2.2320922871284505,0.025608864094516,-0.0914346283882838,-0.0059355000526271,0.1777298217514866,,*,RF_NoTravel,D1,max_height (scraped)
use_mixing,-0.0035371987000607,0.0357465018512812,0.054757225289315,0.0653924010569153,-0.054091892068347,0.9568619519839682,-0.1317039496342137,0.1246295522340923,0.9588394494335846,,,RF_NoTravel,D2,use_mixing (LLM)
use_flexibility,0.0545051132109301,0.0363950956547127,0.043981820643521,0.057087682864472,0.9547613508911706,0.3396983965111585,-0.0573846891642795,0.1663949155861397,0.746553292451556,,,RF_NoTravel,D2,use_flexibility (LLM)
parking_intensity,0.0517840978337319,0.0430940456668369,0.0486865958802284,0.0650190848162299,0.796444582080702,0.4257736742645778,-0.0756509667138337,0.1792191623812976,0.746553292451556,,,RF_NoTravel,D4,"parking_intensity (LLM, inv.)"
reduced_parking,0.0305121595233969,0.0284325220755521,0.0287064228607386,0.040403799636127,0.7551804483287888,0.4501407182410329,-0.0486778326019845,0.1097021516487784,0.746553292451556,,,RF_NoTravel,D4,reduced_parking (binary)
ped_street_interface,-0.1192006768166335,0.0510773417185471,0.0700806250092138,0.0867190223579307,-1.3745620461983026,0.1692672620098333,-0.2891668374127014,0.0507654837794343,0.5078017860295,,,RF_NoTravel,D3,ped_street_interface (LLM)
front_setback,-0.0248068564712532,0.0485355971851656,0.0472787575257298,0.067756808567829,-0.3661160700392193,0.7142784666181539,-0.157607760971573,0.1079940480290665,0.9229903598590486,,,RF_NoTravel,D3,"front_setback (scraped, inv.)"
lot_width,0.0116956237916865,0.0132435766800121,0.0141861320453118,0.0194071807763617,0.6026441411795374,0.5467454488634818,-0.0263417515714405,0.0497329991548137,0.8201181732952226,,,RF_NoTravel,D3,"lot_width (scraped, inv.)"
frontage_std,0.1185415557651108,0.0377702840098544,0.0237545214056583,0.0446191846787561,2.6567396203801588,0.0078900356587458,0.0310895607752073,0.2059935507550143,0.0828453744168311,†,**,RF_NoTravel,D3,frontage_std (binary)
transparency_activation,-0.1697087748774351,0.0504093358503356,0.062097939427153,0.0799828432976116,-2.1218147277655333,0.0338532993812355,-0.3264722671218648,-0.0129452826330054,0.1777298217514866,,*,RF_NoTravel,D3,transparency_activation (LLM)
setback_building_placement,-0.051276082597688,0.0489964609864754,0.0403923649609116,0.0634995774500484,-0.8075027371327648,0.4193768982009163,-0.1757329674332947,0.0731808022379185,0.746553292451556,,,RF_NoTravel,D5,setback_building_placement (LLM)
side_setback,-0.006303787445887,0.0357560740260633,0.0241415831831373,0.043142935323708,-0.1461140137681584,0.8838313837591372,-0.0908623868676958,0.0782548119759216,0.9588394494335846,,,RF_NoTravel,D5,"side_setback (scraped, inv.)"
rear_setback,0.0624280003024504,0.0332135807775232,0.014105945560054,0.0360848950145108,1.7300313684533732,0.0836246709267884,-0.0082970943118996,0.1331530949168006,0.3512236178925116,,†,RF_NoTravel,D5,"rear_setback (scraped, inv.)"
form_based_design,0.0224025176022166,0.0885024237324131,0.0859149004470161,0.1233452436267094,0.1816244951448259,0.8558774242229996,-0.2193497175704524,0.2641547527748857,0.9588394494335846,,,RF_NoTravel,D6,form_based_design (LLM)
human_scale_design,-0.0272857651832833,0.0378898645070234,0.0451660839716387,0.0589543634830681,-0.4628285943774099,0.643487233386574,-0.1428341943415802,0.0882626639750135,0.9008821267412036,,,RF_NoTravel,D6,human_scale_design (binary)
ped_scale_lang,-0.0212825530220887,0.0587268786798187,0.0301667327516877,0.0660217997663339,-0.3223564504059643,0.7471826722668489,-0.1506829027586182,0.1081177967144407,0.9229903598590486,,,RF_NoTravel,D6,ped_scale_lang (binary)
transit_orientation,0.2730009519290773,0.0755508011210173,0.0450701578598923,0.0879729656175301,3.1032368866132347,0.001914163569775,0.1005771077055378,0.4454247961526169,0.040197434965276,*,**,RF_NoTravel,D7,transit_orientation (LLM)
