feature,dimension,feature_label,spec,theta,se_hc1,se_boot,t_stat,p_raw,ci_lo,ci_hi,n_boot_valid
human_scale_design,D6,human_scale_design (binary),GB_Full,-0.07932894213544565,0.017967174915213654,0.018419427853401164,-4.3068081574964605,1.6562713551778592e-05,-0.11543035734394586,-0.04322752692694545,50
human_scale_design,D6,human_scale_design (binary),GB_NoTravel,-0.0776265084835244,0.022616644073553415,0.01927761624292718,-4.02676905200896,5.654852556383943e-05,-0.11540994202744602,-0.03984307493960278,50
ped_scale_lang,D6,ped_scale_lang (binary),RF_Full,-0.06698705338757723,0.055373215985720245,0.036024193289879256,-1.8595018311318234,0.0629560399459508,-0.13759317480785005,0.0036190680326955993,50
ped_scale_lang,D6,ped_scale_lang (binary),RF_NoTravel,-0.0316130574237468,0.06392981636476762,0.04467118426837852,-0.7076834416079002,0.47914186243502244,-0.11916696973652095,0.05594085488902735,50
ped_scale_lang,D6,ped_scale_lang (binary),GB_Full,-0.04026934574777438,0.03269771144079648,0.0293760311543455,-1.3708232244238163,0.17043006929528437,-0.09784530881901815,0.017306617323469387,50
ped_scale_lang,D6,ped_scale_lang (binary),GB_NoTravel,-0.05040346213142046,0.04147445248086101,0.03406411672190497,-1.4796644381801467,0.138962820492586,-0.1171679040715228,0.01636097980868189,50
transit_orientation,D7,transit_orientation (LLM),RF_Full,0.24558720756695243,0.06698066194992582,0.06996461474544034,3.5101630797296366,0.00044783194251022464,0.10845908247366937,0.3827153326602355,50
transit_orientation,D7,transit_orientation (LLM),RF_NoTravel,0.29566959917399105,0.07544717315990367,0.08870318131970414,3.333246843857135,0.0008583874866584835,0.12181455847324482,0.46952463987473725,50
transit_orientation,D7,transit_orientation (LLM),GB_Full,0.09859826956010201,0.049834308046182545,0.03963485122229122,2.487665943467675,0.012858444986569706,0.020915388631807877,0.17628115048839615,50
transit_orientation,D7,transit_orientation (LLM),GB_NoTravel,0.23152619788956583,0.054366275740267644,0.03984851669814428,5.8101584970751965,6.241372479848607e-09,0.1534245403238601,0.30962785545527155,50
transit_orient,D7,transit_orient (binary),RF_Full,-0.009916804632206155,0.028244625445640423,0.02057184750004002,-0.4820570749509427,0.6297654018474006,-0.050236884827734946,0.030403275563322632,50
transit_orient,D7,transit_orient (binary),RF_NoTravel,0.018069861279417676,0.034742021799722814,0.02296398512491984,0.7868782870708618,0.43135311918453356,-0.026938722506938746,0.06307844506577409,50
transit_orient,D7,transit_orient (binary),GB_Full,-0.014677621095447388,0.011881025013073818,0.009106245581205378,-1.6118191591209576,0.10700129775213758,-0.03252553446898694,0.0031702922780921655,50
transit_orient,D7,transit_orient (binary),GB_NoTravel,-0.011939900619804752,0.01635807692432914,0.015004832479561024,-0.7957370157959979,0.42618490714513746,-0.0413488318738012,0.017469030634191692,50
open_space_green,D+,open_space_green (LLM),RF_Full,0.07532575771679358,0.0331811784506521,0.02664236520297922,2.827292439800744,0.0046943436346164975,0.02310768145599114,0.127543833977596,50
open_space_green,D+,open_space_green (LLM),RF_NoTravel,0.1009992771128289,0.0392304109640694,0.02979371220597107,3.389952766362134,0.0006990466704842635,0.042604674223374196,0.1593938800022836,50
open_space_green,D+,open_space_green (LLM),GB_Full,0.02189317405433436,0.01473601269003905,0.01176248684755717,1.861270863727353,0.0627059355517851,-0.001160876535503768,0.04494722464417249,50
open_space_green,D+,open_space_green (LLM),GB_NoTravel,0.0632117661587298,0.019772044903075554,0.017130423132549977,3.6900294680181847,0.0002242280761705007,0.029636753779000026,0.09678677853845957,50
