backend,zone_class,context,causal_score
openai-lg,CG,Non-Residential,-0.0024381068829622
openai-lg,M-AP-2,Other/PD,-0.0052892307378166
openai-lg,SH-RM,Residential,-0.0074127498754096
openai-lg,PD-A,Other/PD,-0.0080129861835357
openai-lg,YC-8,Residential,-0.0083560380421583
openai-lg,YC-4,Residential,-0.0088943995451896
openai-lg,YC-2,Residential,-0.0120924297856991
openai-lg,IH,Non-Residential,-0.014006013406983
openai-lg,SH-RS,Residential,-0.014204482804108
openai-lg,CI,Non-Residential,-0.0172779446274614
openai-lg,CBD-1,Non-Residential,-0.0184493347266725
openai-lg,RM-24,Residential,-0.0187690195899255
openai-lg,RM-35,Residential,-0.0189468899120419
openai-lg,CBD-2,Non-Residential,-0.0200181722943434
openai-lg,RM-24/18,Other/PD,-0.0206192332268991
openai-lg,RM-16,Residential,-0.0275865688100288
openai-lg,RM-12,Residential,-0.0290452460871401
openai-lg,RM-18,Residential,-0.0327622732178643
openai-lg,RS-60,Residential,-0.0354677947650967
openai-lg,RS-50,Residential,-0.0390083316358214
openai-lg,RS-75,Residential,-0.0407372039469361
openai-lg,RS-100,Residential,-0.0416209915525281
openai-lg,IG,Non-Residential,-0.0418967878833251
openai-lg,RS-150,Residential,-0.0455103734548414
openai-lg,RM-75,Residential,-0.0455501581423131
openai-lg,RM-50,Residential,-0.0471383076739253
google,CBD-1,Non-Residential,0.1209236790470383
google,CBD-2,Non-Residential,0.1177751062326284
google,UC,Other/PD,0.0345017670138723
google,OP-1,Non-Residential,0.0259361962497514
google,M-AP-1,Other/PD,0.0217172682503199
google,OP,Non-Residential,0.0198694468856655
google,M-AP-2,Other/PD,0.0195238457561001
google,CG,Non-Residential,0.0167398740175596
google,SH-CN,Non-Residential,0.0148024952834271
google,M-AP-4,Other/PD,0.0142482510504216
google,M-AP-3,Other/PD,0.0131334756230642
google,CU,Other/PD,0.011966887276724
google,SH-RS-A,Residential,0.0115995566983816
google,CI,Non-Residential,0.0107301742166763
google,SH-RS,Residential,0.0105247083721629
google,SH-CG,Non-Residential,0.0090332577051598
google,IH,Non-Residential,0.0081476803402428
google,AS-1,Other/PD,0.0044088889039463
google,SH-RO,Residential,0.0043365374383265
google,SH-CI,Non-Residential,0.0040974989860526
google,SH-RM,Residential,0.0035707634401108
google,RM-24/18,Other/PD,0.0022331483829898
google,RS-150,Residential,0.0021656593027727
google,PD-A,Other/PD,0.001645760562053
google,PD,Other/PD,0.001645760562053
google,RS-60,Residential,0.0012685153398226
google,RM-50,Residential,0.001126258563665
google,RO-1,Residential,0.0008748048042819
google,RM-16,Residential,0.0007721987294607
google,CN,Non-Residential,-2.484489383120176e-05
google,RS-75,Residential,-0.000281511287652
google,RS-50,Residential,-0.0018132360709634
google,IG,Non-Residential,-0.0020971795680664
google,RS-100,Residential,-0.0021562984546817
google,RM-75,Residential,-0.0031473735734114
google,RO,Residential,-0.0031614238155585
google,RM-35,Residential,-0.0034614876973
google,RM-24,Residential,-0.0039527325645691
google,RM-18,Residential,-0.0042878462046988
google,RM-12,Residential,-0.0065981115470205
google,SH-PD,Residential,-0.0070660252061035
google,YC-9,Residential,-0.0180205912814725
google,YC-8,Residential,-0.0180205912814725
google,YC-7,Non-Residential,-0.0180205912814725
google,YC-6,Non-Residential,-0.0180205912814725
google,YC-5,Non-Residential,-0.0180205912814725
google,YC-4,Residential,-0.0180205912814725
google,YC-3,Non-Residential,-0.0180205912814725
google,YC-2,Residential,-0.0180205912814725
google,YC-1,Non-Residential,-0.0180205912814725
google,CD-2,Non-Residential,-0.0212955780765089
google,CD-3,Non-Residential,-0.027178947329411
google,CD-1,Non-Residential,-0.0372195751834574
google,NMU-35,Non-Residential,-0.0533286486586919
google,NMU-16,Non-Residential,-0.0672209551845457
google,NMU-24,Non-Residential,-0.1028423681850069
llm_scored,CU,Other/PD,0.2653004415204665
llm_scored,CBD-2,Non-Residential,0.2459021951559013
llm_scored,CBD-1,Non-Residential,0.2327280323152478
llm_scored,RM-75,Residential,0.198280161892985
llm_scored,YC-7,Non-Residential,0.1918181294815536
llm_scored,YC-4,Residential,0.1337229729998482
llm_scored,YC-6,Non-Residential,0.1337229729998482
llm_scored,YC-8,Residential,0.1196334259871279
llm_scored,YC-2,Residential,0.077187214909701
llm_scored,RM-50,Residential,0.07686889122066
llm_scored,YC-1,Non-Residential,0.0694263379488212
llm_scored,UC,Other/PD,0.0594218356878941
llm_scored,YC-5,Non-Residential,0.0583345733448379
llm_scored,AS-1,Other/PD,0.0572920130455383
llm_scored,RM-35,Residential,0.0512897998384778
llm_scored,PD,Other/PD,0.0459709558787313
llm_scored,RM-24/18,Residential,0.0459353168725862
llm_scored,CD-2,Non-Residential,0.0402081639760703
llm_scored,PD-A,Other/PD,0.0342218883835983
llm_scored,CD-1,Non-Residential,0.0189163793415993
llm_scored,OP,Non-Residential,0.0109327832874873
llm_scored,SH-PD,Residential,0.0007778066045761
llm_scored,CD-3,Non-Residential,-0.0039270659367913
llm_scored,IG,Non-Residential,-0.0158123265971455
llm_scored,IH,Non-Residential,-0.0158123265971455
llm_scored,CN,Non-Residential,-0.0173987709423649
llm_scored,RS-50,Residential,-0.0262415858677507
llm_scored,SH-CI,Non-Residential,-0.028036113455434
llm_scored,M-AP-2,Other/PD,-0.0290517250583015
llm_scored,RO-1,Residential,-0.0301758997874692
llm_scored,RS-60,Residential,-0.0312518871893053
llm_scored,RM-18,Residential,-0.0337660320628507
llm_scored,SH-RO,Residential,-0.0338199086773854
llm_scored,YC-9,Residential,-0.0360685798625898
llm_scored,RM-16,Residential,-0.0408108055692108
llm_scored,SH-CG,Non-Residential,-0.0437342543323084
llm_scored,M-AP-4,Other/PD,-0.0481695618181124
llm_scored,SH-RS,Residential,-0.0511830514614147
llm_scored,M-AP-1,Other/PD,-0.0524300689566319
llm_scored,CG,Non-Residential,-0.0529040547086808
llm_scored,RS-100,Residential,-0.0540927192884216
llm_scored,OP-1,Non-Residential,-0.0544309503700887
llm_scored,CI,Non-Residential,-0.056548063598597
llm_scored,SH-CN,Non-Residential,-0.0582519105393068
llm_scored,RO,Residential,-0.060765292491206
llm_scored,RS-150,Residential,-0.0614816744391187
llm_scored,RM-24,Residential,-0.0629352557204143
llm_scored,YC-3,Non-Residential,-0.0774898996898965
llm_scored,M-AP-3,Other/PD,-0.078327484027855
llm_scored,RM-12,Residential,-0.0793227027269193
llm_scored,NMU-16,Non-Residential,-0.0793251394582468
llm_scored,RS-75,Residential,-0.0928698116410779
llm_scored,SH-RM,Residential,-0.1624496033446146
llm_scored,NMU-35,Non-Residential,-0.1912138788110435
llm_scored,NMU-24,Non-Residential,-0.1984490442396636
llm_scored,SH-RS-A,Residential,-0.2093448434261928
hybrid,CBD-2,Non-Residential,0.4878034206358079
hybrid,CBD-1,Non-Residential,0.339004752339843
hybrid,AS-1,Other/PD,0.2708867517906773
hybrid,PD,Other/PD,0.2444613727580195
hybrid,PD-A,Other/PD,0.2009252298040518
hybrid,CU,Other/PD,0.1741376616441192
hybrid,SH-RS,Residential,0.1694510400338524
hybrid,NMU-16,Non-Residential,0.14897588694379
hybrid,CD-1,Non-Residential,0.1488303402059703
hybrid,IH,Non-Residential,0.116024973652435
hybrid,IG,Non-Residential,0.1154253631443819
hybrid,UC,Other/PD,0.107330089829483
hybrid,RM-75,Residential,0.1065704128050604
hybrid,SH-CI,Non-Residential,0.1037989469291669
hybrid,YC-8,Residential,0.0776368747658644
hybrid,CD-3,Non-Residential,0.0610398030045959
hybrid,NMU-24,Non-Residential,0.0557917390054051
hybrid,RS-150,Residential,0.0537197542645692
hybrid,RM-50,Residential,0.044126729039615
hybrid,YC-2,Residential,0.0261149648440963
hybrid,YC-4,Residential,0.0142838506876434
hybrid,YC-6,Non-Residential,0.0142838506554647
